[06/Feb/2014:11:09:57 +0100]; 127.0.0.1; 127.0.0.1:8005; 0.001; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:09:57 +0100]; 127.0.0.1; 127.0.0.1:8004; 0.000; GET /favicon.ico HTTP/1.1; -;gzipon
[06/Feb/2014:11:09:57 +0100]; 127.0.0.1; 127.0.0.1:8003; 0.000; GET /favicon.ico HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:14 +0100]; 127.0.0.1; 127.0.0.1:8002; 0.000; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:18 +0100]; 10.218.144.144; 127.0.0.1:8001; 0.000; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:18 +0100]; 10.218.144.144; 127.0.0.1:8005; 0.001; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:21 +0100]; 127.0.0.1; 127.0.0.1:8004; 0.000; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:21 +0100]; 127.0.0.1; 127.0.0.1:8003; 0.000; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:22 +0100]; 127.0.0.1; 127.0.0.1:8002; 0.001; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:25 +0100]; 10.218.144.144; 127.0.0.1:8001; 0.000; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:25 +0100]; 10.218.144.144; 127.0.0.1:8005; 0.001; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:26 +0100]; 10.218.144.144; 127.0.0.1:8004; 0.000; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:26 +0100]; 10.218.144.144; 127.0.0.1:8003; 0.000; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:26 +0100]; 10.218.144.144; 127.0.0.1:8002; 0.000; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:28 +0100]; 127.0.0.1; 127.0.0.1:8001; 0.000; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:31 +0100]; 10.218.144.144; 127.0.0.1:8005; 0.000; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:32 +0100]; 127.0.0.1; 127.0.0.1:8004; 0.000; GET / HTTP/1.1; -;gzipon
[06/Feb/2014:11:10:36 +0100]; 10.218.144.144; 127.0.0.1:8003; 0.000; GET / HTTP/1.1; -;gzipon
